method,path,route_family,auth_model,geocode_key_requirement,tier,request_content_type,request_fields,success_envelope,error_codes,source_spec
POST,/v2/charts,recommended_v2_chart,Authorization Bearer token plus HD-Geocode-Key header,required,Advanced,application/json,birthdate;birthtime;location,StandardResponse with type=ChartResult and data=ChartResult,ACCESS_DENIED;ACCOUNT_INACTIVE;API_KEY_INVALID;API_KEY_MISSING;CHART_GENERATION_FAILED;CREDITS_EXHAUSTED;EPHEMERIS_ERROR;GEOCODE_KEY_INVALID;GEOCODE_KEY_MISSING;GEOCODE_LOCATION_NOT_FOUND;GEOCODE_RATE_LIMITED;INTERNAL_ERROR;INVALID_BIRTHDATE;INVALID_BIRTHTIME;INVALID_LOCATION;RATE_LIMIT_EXCEEDED;TIMEZONE_LOOKUP_FAILED,docs.humandesignapi.nl/openapi/v2-routes.yaml#/paths/~1charts/post
POST,/v2/charts/simple,recommended_v2_chart,Authorization Bearer token plus HD-Geocode-Key header,required,Basic + Advanced,application/json,birthdate;birthtime;location,StandardResponse with type=ChartSimpleResult and data=ChartSimpleResult,ACCESS_DENIED;ACCOUNT_INACTIVE;API_KEY_INVALID;API_KEY_MISSING;CHART_GENERATION_FAILED;CREDITS_EXHAUSTED;EPHEMERIS_ERROR;GEOCODE_KEY_INVALID;GEOCODE_KEY_MISSING;GEOCODE_LOCATION_NOT_FOUND;GEOCODE_RATE_LIMITED;INTERNAL_ERROR;INVALID_BIRTHDATE;INVALID_BIRTHTIME;INVALID_LOCATION;RATE_LIMIT_EXCEEDED;TIMEZONE_LOOKUP_FAILED,docs.humandesignapi.nl/openapi/v2-routes.yaml#/paths/~1charts~1simple/post
POST,/v2/charts/coordinates,recommended_v2_chart,Authorization Bearer token,not needed,Advanced,application/json,birthdate;birthtime;lat;lng,StandardResponse with type=ChartResult and data=ChartResult,ACCESS_DENIED;ACCOUNT_INACTIVE;API_KEY_INVALID;API_KEY_MISSING;CHART_GENERATION_FAILED;CREDITS_EXHAUSTED;EPHEMERIS_ERROR;INTERNAL_ERROR;INVALID_BIRTHDATE;INVALID_BIRTHTIME;INVALID_LATITUDE;INVALID_LONGITUDE;RATE_LIMIT_EXCEEDED;TIMEZONE_LOOKUP_FAILED,docs.humandesignapi.nl/openapi/v2-routes.yaml#/paths/~1charts~1coordinates/post
POST,/v1/bodygraphs,legacy_v1_bodygraph,HD-Api-Key header plus HD-Geocode-Key header,required,Advanced,application/json,birthdate;birthtime;location,flat JSON BodygraphResponse; no v2 StandardResponse envelope,schema-defined StandardErrorResponse,docs.humandesignapi.nl/openapi/v1-routes.yaml#/paths/~1bodygraphs/post
POST,/v1/bodygraphs/simple,legacy_v1_bodygraph,HD-Api-Key header plus HD-Geocode-Key header,required,Basic + Advanced,application/json,birthdate;birthtime;location,flat JSON SimpleBodygraphResponse; no v2 StandardResponse envelope,schema-defined StandardErrorResponse,docs.humandesignapi.nl/openapi/v1-routes.yaml#/paths/~1bodygraphs~1simple/post
